ugov_id,brand_name_tax,TwitterHandle,TwitterHandle2
14022,Stein Mart,@steinmart,
53107,Stella Artois,@StellaArtois,
24030,Stop & Shop,@StopandShop,
23019,Stratosphere,@stratvegas,
22023,Strattera,NOT AVAILABLE,
53634,StubHub,@StubHub,
21021,Sudafed,NOT AVAILABLE,
53112,Sun Drop,@SunDrop,
52002,Sunchips,@SunChips,
3025,Sunkist,@Sunkist,
32024,Sunoco,@SunocoRacing,
12019,SunTrust,@SunTrust,
40022,Super 8 Motels,@super8,
31017,SyFy,@SYFY,
29020,Symantec,@symantec,
1000752,Systane,NOT AVAILABLE,
27021,T. Rowe Price,@TRowePrice,
17021,Taco Bell,@tacobell,
53508,Taco Cabana,@TacoCabana,
1001113,Take 5,NOT AVAILABLE,
6024,Tanqueray,@Tanquerayusa,
14023,Target,@Target,
31020,TBS,@TBSNetwork,
1001320,TCF Bank,@TCFBank,
27022,TD Ameritrade,@TDAmeritrade,
12026,TD Bank,@TDBank_US,
30021,Telemundo,@Telemundo,
1000418,Tempur-Pedic,@TempurPedic,
1001096,Tesla,@Tesla,
42019,Teva,@Teva,
15022,Texas Roadhouse,@texasroadhouse,
10022,The Buckle,@BuckleStore,
1000491,The Cheesecake Factory,@Cheesecake,
36020,The Finish Line,@FinishLine,
30022,The Golf Channel,@GolfChannel,
25011,The Hartford,@TheHartford,
23029,The Palazzo,@PalazzoVegas,
1000692,The Vitamin Shoppe,@VitaminShoppe,
30023,The Weather Channel,@weatherchannel,
21022,Theraflu,@Theraflu,
1000757,Thermacare,NOT AVAILABLE,
39022,Thrifty,@thriftycars,
53731,Ticketmaster,@Ticketmaster,
13024,Tide,@tide,
36022,Tiffany & Co.,@TiffanyAndCo,
19025,Tim Horton's,@TimHortonsUS,@TimHortons
41025,Timberland,@Timberland,
14024,TJ Maxx,@tjmaxx,
31022,TLC,@TLC,
29022,T-Mobile,@TMobile,
31023,TNT,@tntdrama,
1001134,Toaster Strudel,@ToasterStrudel,
53081,Toro,@TheToroCompany,
13025,Tostitos,@Tostitos,
1001128,Totino's Pizza Rolls,@totinos,
1000665,TownePlace Suites,@TownePlace,
7023,Toyota,@Toyota,
1000681,Transunion,@TransUnion,
25024,Travelers,@Travelers,
38020,Travelocity,@travelocity,
38021,travelzoo.com,@Travelzoo,
1000034,TRESemme,@TRESemme,
21023,Triaminic,NOT AVAILABLE,
38022,Tripadvisor,@TripAdvisor,
52015,Triscuit,@TheRealTriscuit,
1000361,Trivago,@trivago,
1000472,Trojan,@TrojanCondoms,
53099,Trop50,NOT AVAILABLE,
23022,Tropicana,@Tropicana,
42020,True Religion,@TrueReligion,
30007,truTV,@truTV,
53635,Tumblr,@tumblr,
21024,Tums,@TUMSOfficial,
1001017,TV Land,@tvland,
53097,Twitter,@Twitter,
21025,Tylenol,@tylenol,
1000690,Uber,@Uber,
1001436,Uber Eats,@UberEats,
27023,UBS,@UBS,
42021,UGG,@UGG,
1001315,Ulta Beauty,@ultabeauty,
53498,Umpqua Bank,@umpquabank,
42022,Under Armour,@UnderArmour,
12020,Union Bank,@UnionBank,
1023,United,@united,
25025,UnitedHealthcare,@UHC,
38023,Universal Studios,@UniStudios,
10023,Urban Outfitters,@UrbanOutfitters,
12021,US Bank,@usbank,
29023,US Cellular,@USCellular,
31024,USA Network,@USA_Network,
4025,V8,@V8,
32025,Valero,@ValeroEnergy,
1001022,Valspar,@Valspar,
20018,Valtrex,NOT AVAILABLE,
1000742,Vans,@VANS_66,
1001482,Vaseline,@VaselineBrand,
23024,Venetian,@VenetianVegas,
1000411,Verizon FiOS,@verizonfios,
29024,Verizon Wireless,@Verizon,
22024,Vesicare,NOT AVAILABLE,
31025,VH1,@VH1,
20019,Viagra,NOT AVAILABLE,
9023,Victoria's Secret,@VictoriasSecret,
2023,Viking,@VikingRange,
1000403,Vine,NOT AVAILABLE,
39025,Virgin America,@VirginAmerica,
27025,Visa,@Visa,
22025,Visine,@Visine,
53740,Vistaprint,@Vistaprint,
4027,VitaminWater,@vitaminwater,
1002056,Voya Financial,@Voya,
40023,W Hotels,@WHotels,
37025,Wagner,@WagnerBrake,
1000495,Waldorf-Astoria,@WaldorfAstoria,
35028,Walgreen's,@Walgreens,
14025,Walmart,@Walmart,
20020,Wellbutrin,NOT AVAILABLE,
53648,WellPoint,@AnthemInc,
12024,Wells Fargo,@WellsFargo,
1000632,Wells Fargo Advisors,@WFInvesting,
17022,Wendy's,@Wendys,
53514,Western Union,@WesternUnion,
40024,Westin,@Westin,
2024,Westinghouse,@W__Home,
9024,Wet Seal,@wetseal,
1000402,WhatsApp,@WhatsApp,
52016,Wheat Thins,@WheatThins,
2025,Whirlpool,@whirlpoolusa,
34023,White Barn Candle,NOT AVAILABLE,
9025,White House/Black Market,@whbm,
24023,Whole Foods,@WholeFoods,
34024,Williams-Sonoma,@WilliamsSonoma,
10024,Wilsons Leather,@wilsonsleather,
29029,Windows,@Windows,
1001163,Wingstop,@wingstop,
24025,Winn-Dixie,@WinnDixie,
1001030,Wix.com,@Wix,
42024,Wolverine,@wolverine,
42025,Wrangler,@Wrangler,
40025,Wyndham Hotels & Resorts,@WyndhamHotels,
23025,Wynn Las Vegas,@WynnLasVegas,
8027,XBox,@Xbox,
1000407,Xfinity,@Xfinity,
1001456,Xyzal,@XyzalAllergy,
26024,Yahoo,@Yahoo,
53568,Yahoo! Answers,@YahooAnswers,
1001093,Yankee Candle,@TheYankeeCandle,
1000987,Yelp,@Yelp,
1000866,Yoplait,@Yoplait,
26025,YouTube,@YouTube,
36025,Zales,@ZalesJewelers,
20021,Zantac,NOT AVAILABLE,
53058,Zappos.com,@Zappos,
8025,Zenith,@zenith,
1000554,ZICO,@zicococonut,
12025,Zions Bank,@ZionsBank,
1001316,Zipcar,@Zipcar,
20023,Zocor,NOT AVAILABLE,
20024,Zoloft,NOT AVAILABLE,
1000666,Zoosk,@Zoosk,
1001457,ZzzQuil,@ZzzQuil,
