cik,conm,TwitterHandle,TwitterHandle2
1534992,FIESTA RESTAURANT GROUP INC,NOT AVAILABLE,
35527,FIFTH THIRD BANCORP,@FifthThird,
886137,FINISH LINE INC  -CL A,@FinishLine,
1132979,FIRST REPUBLIC BANK,@firstrepublic,
850209,FOOT LOCKER INC,@footlocker,
37996,FORD MOTOR CO,@Ford,
1519751,FORTUNE BRANDS HOME & SECUR,@FBHS_News,
883569,FOSSIL GROUP INC,@Fossil,
1754301,FOX CORP,@FoxResponse,
38777,FRANKLIN RESOURCES INC,@FTI_US,
724571,FREDS INC,@do_deals,
1489979,FRESH MARKET INC,@TheFreshMarket,
20520,FRONTIER COMMUNICATIONS CORP,@FrontierCorp,
1326380,GAMESTOP CORP,@gamestopcorp,@GameStop
39911,GAP INC,@GapInc,
40545,GENERAL ELECTRIC CO,@generalelectric,
40704,GENERAL MILLS INC,@GeneralMills,
1467858,GENERAL MOTORS CO,@GM,@GMNewsUS
18498,GENESCO INC,@Genesco_Inc,
40987,GENUINE PARTS CO,@genuinepartsco,
821002,G-III APPAREL GROUP LTD,NOT AVAILABLE,
1061894,GILDAN ACTIVEWEAR INC,@GildanOnline,
1131399,GLAXOSMITHKLINE PLC,@GSKUS,@GSK
1502034,GNC HOLDINGS INC,@GNCLiveWell,
1609711,GODADDY INC,@GoDaddy,
1071255,GOLDEN ENTERTAINMENT INC,@GDENOfficial,verify
886982,GOLDMAN SACHS GROUP INC,@GoldmanSachs,
42582,GOODYEAR TIRE & RUBBER CO,@GoodyearTireCo,
1490281,GROUPON INC,@Groupon,
1594109,GRUBHUB INC,@Grubhub,
786110,GYMBOREE CORP,@Gymboree,
910406,HAIN CELESTIAL GROUP INC,@haincelestial,
1359841,HANESBRANDS INC,@HanesBrands,@Hanes
85704,HARRIS TEETER SUPERMARKETS,@HarrisTeeter,
874766,HARTFORD FINANCIAL SERVICES,@TheHartford,
